query_id,query_planning_time,plan_total_cost,plan_startup_cost,plan_rows,plan_width,output_rows,max_depth,num_operators,has_sort,has_hash,is_parallel_aware,max_workers_planned,max_workers_launched,node_type_Seq Scan_count,node_type_Hash Join_count,node_type_Merge Join_count,node_type_Nested Loop_count,node_type_Aggregate_count,node_type_Sort_count,node_type_Limit_count,node_type_Materialize_count,node_type_Gather_count,node_type_Gather Merge_count,node_type_OTHER_count,total_estimated_rows,total_estimated_bytes,total_actual_rows,total_actual_loops,total_actual_time_node,rows_estimate_error,rows_estimate_ratio,output_row_estimation_error,output_row_estimation_ratio,cost_time_ratio,sum_node_actual_time_vs_total_actual_time_ratio,query_length_chars,has_group_by,has_order_by,has_limit,num_aggregate_functions,num_joins,num_tables_referenced,num_where_conditions,actual_execution_time
2792,0.065,1706.77,1705.95,63,63,0,7,10,1,1,0,0,0,3,2,0,0,1,1,1,0,0,0,2,13626.0,757923.0,1.0,8.0,0.043000000000000003,-13625.0,7.338910905621606e-05,-63,0.0,1.4647550636582551e-05,1.72,451,1,1,1,1,2,3,1,0.025
2793,0.061,718617.25,262383.41,55,54,55,5,10,1,1,1,2,2,3,1,0,1,0,1,1,1,0,1,1,27154159.0,1155894832.0,18745495.0,25.0,35626.366,-8408664.0,0.6903360549667548,0,1.0,0.016489968755968493,3.006450477199279,377,0,1,1,0,2,3,0,11849.976
2794,0.062,108659.85,25634.5,100,10,100,4,7,1,0,1,2,2,2,0,0,1,0,1,1,1,0,1,0,3288451.0,32795060.0,2869821.0,17.0,2386.661,-418630.0,0.8726969019760368,0,1.0,0.007998823852600569,2.7459681919482346,304,0,1,1,0,1,2,1,869.151
2795,0.055,135.77,135.63,57,216,0,4,6,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,1,568.0,79812.0,0.0,4.0,0.028,-568.0,0.0,-57,0.0,0.00013994254990056714,1.473684210526316,289,0,1,1,0,1,2,0,0.019
2796,0.046,427002.19,269393.62,19,56,19,6,9,1,0,1,2,2,2,0,0,1,1,1,1,1,0,1,1,32755149.0,860140600.0,11738384.0,18.0,17253.065,-21016765.0,0.35836759588545913,0,1.0,0.008152738045676065,4.956015634672387,351,1,1,1,2,1,2,0,3481.237
2797,0.07,27160.65,27156.21,38,235,38,7,10,1,1,1,2,2,3,2,0,0,0,1,1,0,0,1,2,313388.0,60325630.0,100187.0,26.0,174.67999999999998,-213201.0,0.3196899689841347,0,1.0,0.0010436053629055268,6.162638913388604,348,0,1,1,0,2,3,0,28.345
2798,0.045,1643.47,1643.25,85,108,25,5,7,1,1,0,0,0,2,1,0,0,1,1,1,0,0,0,1,20765.0,1242620.0,20125.0,7.0,11.529,-640.0,0.969178906814351,-60,0.29411764705882354,0.0019020730527481487,3.6880998080614202,210,1,1,1,1,1,2,0,3.126
2799,0.045,375532.12,267694.68,13,44,13,6,9,1,0,1,2,2,2,0,0,1,1,1,1,1,0,1,1,32755143.0,622103172.0,12305959.0,23.0,24939.981,-20449184.0,0.37569547475338455,0,1.0,0.014078574690228895,4.717265716365765,347,1,1,1,1,1,2,0,5286.957
2800,0.096,788390.44,788390.31,1,57,0,6,8,1,1,1,2,2,2,1,0,0,1,1,1,0,0,1,1,166612.0,4165359.0,133280.0,18.0,3128.8650000000002,-33332.0,0.7999423811010011,-1,0.0,0.0003321564883511272,11.948206927891427,333,1,1,1,1,1,2,2,261.869
2801,0.048,140.56,140.32,97,212,25,4,6,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,1,947.0,149084.0,130.0,6.0,0.08500000000000002,-817.0,0.13727560718057022,-72,0.25773195876288657,0.00026323278315310185,2.297297297297298,213,0,1,1,0,1,2,0,0.037
