query_planning_time,plan_total_cost,plan_startup_cost,plan_rows,plan_width,max_depth,num_operators,has_sort,has_hash,is_parallel_aware,max_workers_planned,max_workers_launched,node_type_Seq Scan_count,node_type_Hash Join_count,node_type_Merge Join_count,node_type_Nested Loop_count,node_type_Aggregate_count,node_type_Sort_count,node_type_Limit_count,node_type_Materialize_count,node_type_Gather_count,node_type_Gather Merge_count,node_type_OTHER_count,total_estimated_rows,total_estimated_bytes,query_length_chars,has_group_by,has_order_by,has_limit,num_aggregate_functions,num_joins,num_tables_referenced,num_where_conditions
0.128393214768399,10.307437847226891,10.304476658274794,4.3694478524670215,171,7,15,1,1,1,2,2,4,1,0.0,2,1,0.6931471805599453,1,1.0986122886681098,0.0,1,2,19.29696202193903,24.26564067747897,621,1,1,1,0.6931471805599453,3,4,0.0
0.13278111123381847,14.01789362194081,14.002855824769409,3.1354942159291497,52,9,15,1,1,1,2,2,4,1,0.0,2,1,0.6931471805599453,1,1.0986122886681098,0.0,1,2,17.48052696592743,20.71580648603502,493,1,1,1,0.6931471805599453,3,4,0.0
0.02566774674857779,5.516970852589382,4.986205980173081,4.553876891600541,142,4,9,1,0,0,0,0,3,0,0.6931471805599453,1,0,1.0986122886681098,1,0.6931471805599453,0.0,0,0,10.339966714173462,14.553549360864299,363,0,1,1,0.0,2,3,0.0
0.04974209189481407,4.9081595025070195,4.908085639080461,1.9459101490553132,108,4,6,1,1,0,0,0,2,1,0.0,0,0,0.6931471805599453,1,0.0,0.0,0,1,5.0238805208462765,8.401333305321703,268,0,1,1,0.0,1,2,1.0986122886681098
0.07788653865707122,13.245232019414978,13.199187316549816,3.1780538303479458,74,7,12,1,1,1,2,2,3,1,0.0,1,1,0.6931471805599453,1,0.6931471805599453,0.0,1,2,17.487631850190564,20.60773889452171,462,1,1,1,1.0986122886681098,2,3,1.0986122886681098
0.12927233570413918,13.861230413556488,13.861225617891051,3.784189633918261,122,9,13,1,1,1,2,2,4,3,0.0,0,0,0.6931471805599453,1,0.0,0.0,1,3,16.494047770442148,21.07454291548727,500,0,1,1,0.0,3,4,0.0
0.09531017980432487,13.749227732411908,13.749219376481141,4.219507705176107,193,9,14,1,1,1,2,2,4,2,0.6931471805599453,0,0,1.3862943611198906,1,0.0,0.0,1,2,18.422343381005042,23.68405496641771,498,0,1,1,0.0,3,4,0.0
0.04401688541677432,7.584442738503397,7.584320739550404,4.574710978503383,30,4,6,1,1,0,0,0,2,1,0.0,0,0,0.6931471805599453,1,0.0,0.0,0,1,10.323414252585296,13.716354090670729,193,0,1,1,0.0,1,2,0.0
0.11154137473290741,7.419554428717906,7.419530451783716,2.833213344056216,155,4,6,1,1,0,0,0,2,1,0.0,0,0,0.6931471805599453,1,0.0,0.0,0,1,9.7313341246578,14.2881500851766,252,0,1,1,0.0,1,2,0.0
0.17311261770864478,12.991273117076092,12.365250524930694,3.2188758248682006,33,5,10,1,0,1,2,2,3,0,0.0,2,0,0.6931471805599453,1,1.0986122886681098,0.0,1,0,16.931383219767724,19.63631387862485,327,0,1,1,0.0,2,3,0.0
